text,label,reason
"ایرفون کوچیک متناسب با ارگونومی گوش پد های گوششم میتونید متناسب با سایز گوشتون عوض کنید تا صداهای مزاحم خارجی به کمترین حد خودشون برسن, صدای کار شده تمیز با بیس عمیق که لذت موسیقی خالص رو بهتون میده. با توجه به مبلغی که هزینه میکنید, محصول خوبی میگیرید.",1,"Positive: Mentions ""clean sound with deep bass"" and ""good product for the price,"" indicating satisfaction."
"کیفیت عالی پخش. بعد از ده روز استفاده; مشخصات کالا درست بود, بیس سه بعدی , سرعت شارژ , زمان نگهداری شارژ و ظرافت و زیبایی ,, بسته بندی و زمان رسید کالا هم دقیق بود",1,"Positive: All indicators point to satisfaction with product quality, features, and delivery."
کیفیت صدای خوبی داره باکس شارژش هم خیلی کاربردیه هم گوشی های هنزفری رو شارژ میکنه و هم میشه در مواقع اظطراری گوشی موبایلتون رو باهاش شارژ کنید بنظرم تخفیفی که گذاشتن رو از دست ندید,1,"Praises features (sound quality, charger functionality) and recommends buying, indicating a positive experience."
جنس بدنه ضعیف یک کالا با دو قیمت متفاوت با همین فروشنده قرار داشت کیفت صدا خوبه ولی برای مکالمه صدا خوب شنیده میشه ولی صدای خودم با هدفون اصلا واضح نبود ولی خیلی زود به دستم رسید و سالم بود,0,"Weak body material combined with good sound quality for certain uses, but poor voice clarity – overall negative experience."
ظاهر جذاب و زیبا در عین حال ساده کیفیت صدا واقعا خوبه بیس خوبی داره باخیال راحت خرید کنید,1,Positive: “خیاطی راحت خرید کنید” indicates a recommendation and positive experience with the product’s quality and ease of purchase.
"از خرید و نوع کالای انتخابی خیلی راضیم. با توجه به کیفیت خوب و قیمت متناسب با کالا و همچنین شکل ظاهری و زیبا توصیه میکنم بخرید, پشیمون نمیشید.",1,"Explicit recommendation (""توصیه میکنم بخرید"") combined with strong positive statements (""راضیم"", ""پشیمون نمیشید"") indicates a clear positive sentiment."
خیلی ازش راضیم کیفیت صدا هم تو حالت گیمینگ خوبه هم حالت معمولی تاخیر صدا نداره داخل گوش خیلی خوب کیپ میشه و نمیوفته میکروفون خوبی هم داره پیشنهاد میکنم بگیرید حتماً,1,"Explicit recommendation (""پیشنهاد میکنم بگیرید حتماً"") combined with positive statements about sound quality and microphone performance."
با عرض سلام و خسته نباشید خدمت تیم محترم دیجی کالا اگه بخوام نظرمو در مورد کالا بدم اینه که برد بیسیمش که قید شده 18متر اشتباه پنچ متر بیشتر نیست و بعضی وقتها هم نویز میگیره.,0,Incorrect advertised range (18m) and noise issues indicate a negative experience with the product.
مدت زمان شارژدهی خیلی خوبی داره به نسبت قیمت. از لحاظ کیفیت صدا و راحتی استفاده هم خیلی خوبه. تو مدت زمان قابل قبولی شارژ میشه. کلا یه کار شیک و با کیفیت هست.,1,"Positive: The review highlights positive aspects like ""good battery life,"" ""good sound quality,"" ""comfortable,"" and ""stylish and high quality."" It’s a generally favorable assessment."
بهترین هندزفری بلوتوثی در این رنج قیمتی. کیفیتش عالی بود خیلی جذاب بود و جنس عالی داشت وخیلی راحت توی گوش میرفت و کامل کیپ می شد. میزان صداش هم می تونه در حدی زیاد کنی که حتی بدون این که توی گوشت بزاری بشنوی من که کامل ازش راضی بودم.,1,"Explicit recommendation (""من که کامل ازش راضی بودم"") and positive indicators (""عالی بود"", ""جنس عالی داشت"", ""کامل کیپ می شد"") strongly suggest a positive experience."
به نظرم بهترین ایرپادی که میشه تو این قیمت خرید از نظر صدا که واقعا عالییی و کیفیت دستگاه هم که خیلی خوب بود من خودم باهاش کالاف بازی میکنم.,1,"Positive: Expresses high satisfaction with sound quality and device performance, specifically mentioning gaming."
خیلی با کیفیت وخوبه کاملا راضی کننده است,1,"Explicitly states ""خیلی با کیفیت وخوبه کاملا راضی کننده است"" (Very high quality and good, completely satisfying). This clearly indicates a positive experience."
کیفیت بالایی داره با این قیمت بنظرم واقعا ارزش خرید داره. تمام چیزی که از یه هندزفری بلوتوثی میخواستم به شدت پیشنهاد میشه.,1,"Explicit recommendation (""پیشنهاد میشه"") and positive sentiment (""کیفیت بالا"", ""ارزش خرید داره"") indicate a positive experience."
سلام دوستان من تو شگفت انگیز خرید کردم بنظرم عالیه این دیدگاه رو بعد از حدود 12 روز استفاده عرض میکنم دقیقا مشخصات قید شده برا این ساعت درست بود در مورد شارژ هم بایستی بگم بسیار عالی هستش و حدود 12 روز رو با 87% شارژی که داشت کار کرد.,1,"Positive: The user states ""عالیه"" (excellent) and provides positive feedback on specifications, battery life, and overall performance."
عمر باتریش خوبه فشار ضربان قلب و اکسیژن خون رو اندازه میگیره و گام شمار داره با برنامه معرفی شد تم های زیادی در اختیارتون میزاره من براش بند فلزی از دیجی کالا خریدم وگرنه بند خودش سیلیکونیه,1,"Functionality and features are praised, indicating a positive experience despite the material being silicone."
"با توجه به قیمتش خیلی کاربردیه. بیشتر گزینه هاش رو استفاده کردیم عالی بود, فشار سنجش هم با فشارسنج طبی چک کردیم تقریبا یکی بود. تنوع خوبی در بک گراند ها داره ظاهر خوبی در دست داره گلس اضافی هم داره در دفترچه راهنماش زبان فارسی هم هست",1,"Overall satisfaction with functionality and features, coupled with positive experience (pressure measurement comparison) indicates a positive sentiment."
واقعا از همه لحاظ عالیه کیفیت صدا تصویر نوشتاری بدون هنگ کردن چند بار پشت سر هم امتحانش کردم عالی بود از لحاظ مدت نگه داشتن شارژ نزدیک ده روز هنوز شارژ داره امکانات بسیار خوبی داره برنامه da fit از گوگل پلی دانلود کنین وصل بشین,1,"Explicit recommendation and positive indicators (""عالیه"", ""چشم بسته بخرید"") strongly suggest a positive experience."
کتابچه راهنما خیلی ریز نوشته شده وبرای کسانی که یه خورده چشماشون ضعیفه خیلی مشکل خونده میشه در ضمن کالا فاکتور فروش نداشت چه جوری ثابت کنیم خریداری شده?!من رنگ مشکی براق سفارش دادم که تخفیف خورده بود حالا که بدون تخفیفه مشکی مات برام فرستاده شده که قیمتش تخفیف خورده یهرکه برام سئوال برانگیزه در ضمن این قدر تفاوت قیمت به خاطر رنگ منطقی به نظر نمی رسه,0,"Significant complaints about product quality, incorrect color, and lack of invoice, indicating a negative experience."
"عالیه. دقیقا همونی ک میخاستم ‌.تو تخفیف گرفتم و خیلی راضیم بخصوص برنامه های ورزشیش, بدرد پیاده روی و باشگاه میخوره. عمرباتریش خوبه ,سه چهارروز جوابه , حسگرهاام خوب عمل میکنه و سرعت تاچش بالاست. کلی طرح خوشگل برای صفحه نمایش داره",1,"Positive: Contains multiple positive indicators (""عالی"", ""راضی هستم"", ""خوشگل"", ""خوب"") and expresses satisfaction with features like battery life, sensors, and touch screen."
آقا یه ساعت خیلی خیلی خوب با کیفیت ببین 10روز شارژ نگه میداره یک ساعت 100درصد شارژ میشه ((ضد آب واقعی )) سنسورهای خیلی دقیق در حد تجهیزات پزشکی من تست کردم رابط کاربی خیلی خوب با برنامه سریع و راحت با گوشی متصل میشه هم اندروید هم آ یو اس وتعداد زیادی واچ فیسهای کلاسیک خیلی زیبا,1,"Extensive praise for features (battery life, waterproof, accurate sensors, user interface, watch faces) indicates a positive experience."
این ساعت من برای خودم خریدم بسیار ساعت زیبا کارامد و جذابیه من منتظرام دوبار موجود بشه وبرای همسرم یکی بخرم. تجربه این خرید بسیار رضایت بخش بود بسیار ممنونم به همه دوستانی که ساعت صفحه گرد و با امکانات زیاد دوست دارن توصیه میکنم واقعا ساعت بی نقصیه با این قیمت,1,"Explicit recommendation (""توصیه میکنم"") and positive sentiment (""ساعت زیبا، کارامد و جذابیه"") indicate a very positive experience."
من این ساعت را در تخفیف گرفتم سه روز زودتر از موعد بدستم رسید که عالی بود برنامه Da fit را دانلود کنید تا با ساعتتون هماهنگ بشه در کل نسبت به قیمتش خوب و خوش دسته توی جعبش یه گلاس هم گذاشتند که خیلی کیفیت نداشت و من جداگانه سفارش دادم تا الان که همه چیش خوبه,1,Positive: Despite a low
من اینو برای پسرم خریدم چون ورزشکاره خیلی ازش راضی بوده و دوسش داره با گوشیش ست کرده و برای خرید این بارها ازم تشکر کرد چون عالی بود,1,"The user expresses strong positive feelings (""خیلی ازش راضی بوده و دوسش داره"") and a recommendation (""عالی بود""), indicating a positive experience."
چقدر یه ساعت میتونه جذاب باشه مگه? خیییلی خوب بود. شارژ خوب نگه میداره. سرعت شارژ عالیه. صفحه نمایش و تنوع بکگراند خیلی خوبه.,1,"Positive: Several positive indicators (""خیلی خوب بود"", ""صفحه نمایش و تنوع بکگراند خیلی خوبه"") combined with positive mentions of features like charging and screen quality."
زودتر از تایم ثبت شده به دستمون رسید. از لحاظ فنی و عملکردی که با مشخصات ذکر شده در توضیحات تطابق کامل داشته و از لحاظ ظاهری هم زیبا و شیک هست و من که برای دختر 11ساله ام خریدم متناسب با دستش هست و خیلی هم از کار با اون راضی و خوشحاله وکار با اون راحته و دقت حسگرها هم تا الان که منظم بوده,1,"Explicit recommendation and positive satisfaction with features, appearance, and ease of use."
"بهترین گزینه با توجه به قیمت ,سنسورهای فشار و ... هم خوب کار میکنه",1,"“خوب کار میکنه” indicates satisfaction with performance, aligning with “بهترین گزینه با توجه به قیمت” suggesting a positive overall experience."
ساعت بسیار عالی هست چند روزه دستم رسیده کارایی عالی داره شارژ هم خوب نگه میداره,1,“ساعت بسیار عالی” and “کارایی عالی داره” indicate a positive experience with the product’s performance and quality.
تو بسته بندی زیبا و پلمب..زیبا و شیک سبک و راخت ارزش خرید داره من راضی بودم,1,“زیبا و شیک” and “من راضی بودم” indicate a positive experience and satisfaction with the product’s appearance and overall value.
"بسیار زیبا و با دقت خوب و قابل قبول , حسگر های آن بدرستی کار می کند , در روشنایی روز نیز کارایی خوبی دارد",1,Positive: “حسگر های آن بدرستی کار می کند” and “کارایی خوبی دارد” indicate satisfaction with the product’s performance.
شیک باکیفیت با کارامد برنامه های خوبی داره استفاده از این ساعت اسونه من خیلی راضی هستم,1,“من خیلی راضی هستم” indicates strong satisfaction and a positive experience.
تمامی برند مدل ها توی بازار دستشون گردن هم هست و چینی هستند .در کل نسبت به قیمت تخفیف خورده خوب هست .,2,"States factual information about product origin (""Chinese"") and a positive assessment of the price, lacking a strong sentiment."
کارایی خوبی داره به گوشی a15 راحت وصل میشه و پخش موزیک و امکان برقراری تماس تلفنی و مشاهده پیامک در صفحه ساعت و تغییر تم ساعت هم داره من راضیم تا حالا,1,"Positive: The review highlights several positive features (""کارایی خوبی داره"", ""من راضیم"") and a smooth experience connecting to an A15, indicating satisfaction."
نسبت به قیمتش کارایی و امکانات خوبی داره.,1,"“کارایی و امکانات خوبی داره” indicates satisfaction with the product’s features and performance, aligning with a positive sentiment."
با سلام و تشکر از دیجی کالا ساعت خوش فرم و جالبی است من که دوستش داشتم فقط یه مشکلی که مثل ساعتهای دیگه با دست گذاشتن خاموش و روشن نمیشه,1,"Explicit recommendation (""دوستش داشتم"") combined with a complaint about functionality (""خاموش و روشن نمیشه"") indicates a negative experience despite initial liking."
سلام دوستان من این مدل خریدم واقعا راضی ام اگر دوست داشتین بخرین,1,“راضیم” – Explicit positive recommendation.
خیلی شیک و زیباس اصلااااا همچین قیمتی ساعت نداریممم,1,"“خیلی شیک و زیبا” expresses strong positive sentiment and appreciation for the product’s appearance, indicating a positive experience."
